 County Name,County Code,Region Name,Indicator Number,Indicator,Total Event Counts,Denominator,Denominator Note,Measure Unit,Percentage/Rate,95% CI,Data Comments,Data Years,Data Sources,Quartile,Mapping Distribution,Location
Hudson Valley,106,Hudson Valley,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",2070,2294607,Average annual population,Rate,30.1,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York City,107,New York City,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",4881,8270641,Average annual population,Rate,19.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Nassau-Suffolk,108,Nassau-Suffolk,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",2541,2850679,Average annual population,Rate,29.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York State,999,New York State,d13,"Cerebrovascular disease (stroke) mortality rate per 100,000",18096,19461584,Average annual population,Rate,31,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Western New York,101,Western New York,d13a,"Age-adjusted cerebrovascular disease (stroke) mortality rate per 100,000",2506,1537947,Average annual population,Rate,39.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Finger Lakes,102,Finger Lakes,d13a,"Age-adjusted cerebrovascular disease (stroke) mortality rate per 100,000",1749,1271131,Average annual population,Rate,36.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Central New York,103,Central New York,d13a,"Age-adjusted cerebrovascular disease (stroke) mortality rate per 100,000",1974,1439971,Average annual population,Rate,37.2,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York-Penn,104,New York-Penn,d13a,"Age-adjusted cerebrovascular disease (stroke) mortality rate per 100,000",497,299236,Average annual population,Rate,38.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Northeastern New York,105,Northeastern New York,d13a,"Age-adjusted cerebrovascular disease (stroke) mortality rate per 100,000",1878,1497372,Average annual population,Rate,32.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Hudson Valley,106,Hudson Valley,d13a,"Age-adjusted cerebrovascular disease (stroke) mortality rate per 100,000",2070,2294607,Average annual population,Rate,25.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York City,107,New York City,d13a,"Age-adjusted cerebrovascular disease (stroke) mortality rate per 100,000",4881,8270641,Average annual population,Rate,19.3,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Nassau-Suffolk,108,Nassau-Suffolk,d13a,"Age-adjusted cerebrovascular disease (stroke) mortality rate per 100,000",2541,2850679,Average annual population,Rate,24,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York State,999,New York State,d13a,"Age-adjusted cerebrovascular disease (stroke) mortality rate per 100,000",18096,19461584,Average annual population,Rate,26.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Western New York,101,Western New York,d21,"Cirrhosis mortality rate per 100,000",451,1537947,Average annual population,Rate,9.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Finger Lakes,102,Finger Lakes,d21,"Cirrhosis mortality rate per 100,000",310,1271131,Average annual population,Rate,8.1,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Central New York,103,Central New York,d21,"Cirrhosis mortality rate per 100,000",381,1439971,Average annual population,Rate,8.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York-Penn,104,New York-Penn,d21,"Cirrhosis mortality rate per 100,000",113,299236,Average annual population,Rate,12.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Northeastern New York,105,Northeastern New York,d21,"Cirrhosis mortality rate per 100,000",472,1497372,Average annual population,Rate,10.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Hudson Valley,106,Hudson Valley,d21,"Cirrhosis mortality rate per 100,000",446,2294607,Average annual population,Rate,6.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York City,107,New York City,d21,"Cirrhosis mortality rate per 100,000",1489,8270641,Average annual population,Rate,6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Nassau-Suffolk,108,Nassau-Suffolk,d21,"Cirrhosis mortality rate per 100,000",515,2850679,Average annual population,Rate,6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York State,999,New York State,d21,"Cirrhosis mortality rate per 100,000",4177,19461584,Average annual population,Rate,7.2,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Western New York,101,Western New York,d21a,"Age-adjusted cirrhosis mortality rate per 100,000",451,1537947,Average annual population,Rate,8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Finger Lakes,102,Finger Lakes,d21a,"Age-adjusted cirrhosis mortality rate per 100,000",310,1271131,Average annual population,Rate,6.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Central New York,103,Central New York,d21a,"Age-adjusted cirrhosis mortality rate per 100,000",381,1439971,Average annual population,Rate,7.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York-Penn,104,New York-Penn,d21a,"Age-adjusted cirrhosis mortality rate per 100,000",113,299236,Average annual population,Rate,10.2,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Northeastern New York,105,Northeastern New York,d21a,"Age-adjusted cirrhosis mortality rate per 100,000",472,1497372,Average annual population,Rate,8.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Hudson Valley,106,Hudson Valley,d21a,"Age-adjusted cirrhosis mortality rate per 100,000",446,2294607,Average annual population,Rate,5.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York City,107,New York City,d21a,"Age-adjusted cirrhosis mortality rate per 100,000",1489,8270641,Average annual population,Rate,5.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Nassau-Suffolk,108,Nassau-Suffolk,d21a,"Age-adjusted cirrhosis mortality rate per 100,000",515,2850679,Average annual population,Rate,5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York State,999,New York State,d21a,"Age-adjusted cirrhosis mortality rate per 100,000",4177,19461584,Average annual population,Rate,6.4,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Western New York,101,Western New York,d22,"Diabetes mortality rate per 100,000",1269,1537947,Average annual population,Rate,27.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Finger Lakes,102,Finger Lakes,d22,"Diabetes mortality rate per 100,000",649,1271131,Average annual population,Rate,17,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Central New York,103,Central New York,d22,"Diabetes mortality rate per 100,000",851,1439971,Average annual population,Rate,19.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York-Penn,104,New York-Penn,d22,"Diabetes mortality rate per 100,000",250,299236,Average annual population,Rate,27.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Northeastern New York,105,Northeastern New York,d22,"Diabetes mortality rate per 100,000",962,1497372,Average annual population,Rate,21.4,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Hudson Valley,106,Hudson Valley,d22,"Diabetes mortality rate per 100,000",972,2294607,Average annual population,Rate,14.1,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York City,107,New York City,d22,"Diabetes mortality rate per 100,000",5062,8270641,Average annual population,Rate,20.4,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Nassau-Suffolk,108,Nassau-Suffolk,d22,"Diabetes mortality rate per 100,000",1196,2850679,Average annual population,Rate,14,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York State,999,New York State,d22,"Diabetes mortality rate per 100,000",11211,19461584,Average annual population,Rate,19.2,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Western New York,101,Western New York,d22a,"Age-adjusted diabetes mortality rate per 100,000",1269,1537947,Average annual population,Rate,21.4,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Finger Lakes,102,Finger Lakes,d22a,"Age-adjusted diabetes mortality rate per 100,000",649,1271131,Average annual population,Rate,14.1,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Central New York,103,Central New York,d22a,"Age-adjusted diabetes mortality rate per 100,000",851,1439971,Average annual population,Rate,16.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York-Penn,104,New York-Penn,d22a,"Age-adjusted diabetes mortality rate per 100,000",250,299236,Average annual population,Rate,20.5,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Northeastern New York,105,Northeastern New York,d22a,"Age-adjusted diabetes mortality rate per 100,000",962,1497372,Average annual population,Rate,17.2,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Hudson Valley,106,Hudson Valley,d22a,"Age-adjusted diabetes mortality rate per 100,000",972,2294607,Average annual population,Rate,12.4,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York City,107,New York City,d22a,"Age-adjusted diabetes mortality rate per 100,000",5062,8270641,Average annual population,Rate,20.1,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Nassau-Suffolk,108,Nassau-Suffolk,d22a,"Age-adjusted diabetes mortality rate per 100,000",1196,2850679,Average annual population,Rate,11.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
New York State,999,New York State,d22a,"Age-adjusted diabetes mortality rate per 100,000",11211,19461584,Average annual population,Rate,17,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",,,
Erie,14,Western New York,d21,"Cirrhosis mortality rate per 100,000",267,915438,Average annual population,Rate,9.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",9.3 - < 10.9 : Q3,2,
Western New York,101,Western New York,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),6754,9204,Average annual population,Rate,24.5,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
Finger Lakes,102,Finger Lakes,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),5130,7068,Average annual population,Rate,24.2,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
Central New York,103,Central New York,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),6901,9545,Average annual population,Rate,24.1,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
New York-Penn,104,New York-Penn,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),1553,2325,Average annual population,Rate,22.3,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
Northeastern New York,105,Northeastern New York,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),5862,8119,Average annual population,Rate,24.1,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
Hudson Valley,106,Hudson Valley,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),11243,13063,Average annual population,Rate,28.7,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
New York City,107,New York City,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),64244,80069,Average annual population,Rate,26.7,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
Nassau-Suffolk,108,Nassau-Suffolk,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),10046,10816,Average annual population,Rate,31,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
New York State,999,New York State,g56,Percentage of pregnant women in WIC who were pre-pregnancy overweight but not obese (BMI 25 to less than 30),111733,140209,Average annual population,Rate,26.6,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
Western New York,101,Western New York,g57,Percentage of pregnant women in WIC who were pre-pregnancy obese (BMI 30 or higher),8350,9204,Average annual population,Rate,30.2,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
Finger Lakes,102,Finger Lakes,g57,Percentage of pregnant women in WIC who were pre-pregnancy obese (BMI 30 or higher),6683,7068,Average annual population,Rate,31.5,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
Central New York,103,Central New York,g57,Percentage of pregnant women in WIC who were pre-pregnancy obese (BMI 30 or higher),8431,9545,Average annual population,Rate,29.4,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
New York-Penn,104,New York-Penn,g57,Percentage of pregnant women in WIC who were pre-pregnancy obese (BMI 30 or higher),2298,2325,Average annual population,Rate,32.9,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
Northeastern New York,105,Northeastern New York,g57,Percentage of pregnant women in WIC who were pre-pregnancy obese (BMI 30 or higher),7565,8119,Average annual population,Rate,31.1,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
Hudson Valley,106,Hudson Valley,g57,Percentage of pregnant women in WIC who were pre-pregnancy obese (BMI 30 or higher),9322,13063,Average annual population,Rate,23.8,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
New York City,107,New York City,g57,Percentage of pregnant women in WIC who were pre-pregnancy obese (BMI 30 or higher),51499,80069,Average annual population,Rate,21.4,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
Nassau-Suffolk,108,Nassau-Suffolk,g57,Percentage of pregnant women in WIC who were pre-pregnancy obese (BMI 30 or higher),7829,10816,Average annual population,Rate,24.1,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
New York State,999,New York State,g57,Percentage of pregnant women in WIC who were pre-pregnancy obese (BMI 30 or higher),101977,140209,Average annual population,Rate,24.2,,,2010-2012,"2010-2012 NYS Pregnancy Nutrition Surveillance System - WIC Program Data as of July, 2013",,,
Allegany,2,Western New York,h1,"Cardiovascular disease hospitalization rate per 10,000",2634,48960,Average annual population,Rate,179.3,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",173.8 - < 195.6 : Q3,2,"(42.226801, -78.020567)"
Nassau-Suffolk,108,Nassau-Suffolk,h1,"Cardiovascular disease hospitalization rate per 10,000",175990,2850679,Average annual population,Rate,205.8,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",,,
New York State,999,New York State,h1,"Cardiovascular disease hospitalization rate per 10,000",1040675,19461584,Average annual population,Rate,178.2,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",,,
Cattaraugus,4,Western New York,h1,"Cardiovascular disease hospitalization rate per 10,000",5410,79946,Average annual population,Rate,225.6,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",195.6 + : Q4,3,"(42.224267, -78.606673)"
Chautauqua,6,Western New York,h1,"Cardiovascular disease hospitalization rate per 10,000",4754,134259,Average annual population,Rate,118,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",0 - < 173.8 : Q1 & Q2,1,"(42.246904, -79.315313)"
Erie,14,Western New York,h1,"Cardiovascular disease hospitalization rate per 10,000",51022,915438,Average annual population,Rate,185.8,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",173.8 - < 195.6 : Q3,2,"(42.888143, -78.795544)"
Genesee,18,Western New York,h1,"Cardiovascular disease hospitalization rate per 10,000",3961,59313,Average annual population,Rate,222.6,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",195.6 + : Q4,3,"(43.000121, -78.172679)"
Niagara,29,Western New York,h1,"Cardiovascular disease hospitalization rate per 10,000",15885,215679,Average annual population,Rate,245.5,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",195.6 + : Q4,3,"(43.134634, -78.856419)"
Orleans,34,Western New York,h1,"Cardiovascular disease hospitalization rate per 10,000",3007,42519,Average annual population,Rate,235.7,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",195.6 + : Q4,3,"(43.248394, -78.218438)"
Wyoming,56,Western New York,h1,"Cardiovascular disease hospitalization rate per 10,000",2455,41832,Average annual population,Rate,195.6,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",173.8 - < 195.6 : Q3,2,"(42.723641, -78.204473)"
Western New York,101,Western New York,h1,"Cardiovascular disease hospitalization rate per 10,000",89128,1537947,Average annual population,Rate,193.2,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",,,
Chemung,7,Finger Lakes,h1,"Cardiovascular disease hospitalization rate per 10,000",4902,88667,Average annual population,Rate,184.3,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",173.8 - < 195.6 : Q3,2,"(42.116644, -76.812331)"
Livingston,24,Finger Lakes,h1,"Cardiovascular disease hospitalization rate per 10,000",3160,64445,Average annual population,Rate,163.4,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",0 - < 173.8 : Q1 & Q2,1,"(42.763754, -77.765392)"
Monroe,26,Finger Lakes,h1,"Cardiovascular disease hospitalization rate per 10,000",36790,741224,Average annual population,Rate,165.4,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",0 - < 173.8 : Q1 & Q2,1,"(43.161748, -77.620143)"
Ontario,32,Finger Lakes,h1,"Cardiovascular disease hospitalization rate per 10,000",5185,107369,Average annual population,Rate,161,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",0 - < 173.8 : Q1 & Q2,1,"(42.894571, -77.252045)"
Schuyler,44,Finger Lakes,h1,"Cardiovascular disease hospitalization rate per 10,000",910,18475,Average annual population,Rate,164.2,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",0 - < 173.8 : Q1 & Q2,1,"(42.38593, -76.872032)"
Seneca,45,Finger Lakes,h1,"Cardiovascular disease hospitalization rate per 10,000",1784,34833,Average annual population,Rate,170.7,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",0 - < 173.8 : Q1 & Q2,1,"(42.833627, -76.82753)"
Steuben,46,Finger Lakes,h1,"Cardiovascular disease hospitalization rate per 10,000",5539,98192,Average annual population,Rate,188,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",173.8 - < 195.6 : Q3,2,"(42.270053, -77.324618)"
Wayne,54,Finger Lakes,h1,"Cardiovascular disease hospitalization rate per 10,000",5536,92833,Average annual population,Rate,198.8,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",195.6 + : Q4,3,"(43.144336, -77.117995)"
Yates,57,Finger Lakes,h1,"Cardiovascular disease hospitalization rate per 10,000",1234,25095,Average annual population,Rate,163.9,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",0 - < 173.8 : Q1 & Q2,1,"(42.634338, -77.078311)"
Finger Lakes,102,Finger Lakes,h1,"Cardiovascular disease hospitalization rate per 10,000",65040,1271131,Average annual population,Rate,170.6,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",,,
Cayuga,5,Central New York,h1,"Cardiovascular disease hospitalization rate per 10,000",4795,79763,Average annual population,Rate,200.4,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",195.6 + : Q4,3,"(42.940095, -76.560755)"
Cortland,11,Central New York,h1,"Cardiovascular disease hospitalization rate per 10,000",2655,48898,Average annual population,Rate,181,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",173.8 - < 195.6 : Q3,2,"(42.597101, -76.143291)"
Herkimer,21,Central New York,h1,"Cardiovascular disease hospitalization rate per 10,000",4221,63638,Average annual population,Rate,221.1,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",195.6 + : Q4,3,"(43.070026, -74.994246)"
Jefferson,22,Central New York,h1,"Cardiovascular disease hospitalization rate per 10,000",4990,117619,Average annual population,Rate,141.4,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",0 - < 173.8 : Q1 & Q2,1,"(44.019295, -75.898971)"
Lewis,23,Central New York,h1,"Cardiovascular disease hospitalization rate per 10,000",1650,26772,Average annual population,Rate,205.4,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",195.6 + : Q4,3,"(43.785537, -75.446296)"
Madison,25,Central New York,h1,"Cardiovascular disease hospitalization rate per 10,000",3162,72254,Average annual population,Rate,145.9,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",0 - < 173.8 : Q1 & Q2,1,"(42.986917, -75.720031)"
Oneida,30,Central New York,h1,"Cardiovascular disease hospitalization rate per 10,000",16459,233403,Average annual population,Rate,235.1,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",195.6 + : Q4,3,"(43.149482, -75.361773)"
Onondaga,31,Central New York,h1,"Cardiovascular disease hospitalization rate per 10,000",20876,462913,Average annual population,Rate,150.3,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",0 - < 173.8 : Q1 & Q2,1,"(43.065629, -76.168033)"
Oswego,35,Central New York,h1,"Cardiovascular disease hospitalization rate per 10,000",6295,121905,Average annual population,Rate,172.1,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",0 - < 173.8 : Q1 & Q2,1,"(43.39123, -76.31133)"
St. Lawrence,40,Central New York,h1,"Cardiovascular disease hospitalization rate per 10,000",5565,111116,Average annual population,Rate,166.9,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",0 - < 173.8 : Q1 & Q2,1,"(44.689468, -75.242045)"
Tompkins,50,Central New York,h1,"Cardiovascular disease hospitalization rate per 10,000",2939,101689,Average annual population,Rate,96.3,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",0 - < 173.8 : Q1 & Q2,1,"(42.461024, -76.478784)"
Central New York,103,Central New York,h1,"Cardiovascular disease hospitalization rate per 10,000",73607,1439971,Average annual population,Rate,170.4,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",,,
Broome,3,New York-Penn,h1,"Cardiovascular disease hospitalization rate per 10,000",10064,198087,Average annual population,Rate,169.4,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",0 - < 173.8 : Q1 & Q2,1,"(42.122015, -75.933191)"
Chenango,8,New York-Penn,h1,"Cardiovascular disease hospitalization rate per 10,000",2724,50405,Average annual population,Rate,180.1,,,2009-2011,"2009-2011 SPARCS Data as of February, 2013",173.8 - < 195.6 : Q3,2,"(42.481798, -75.570013)"
